date,rets,vix,vixann,c,rv,jump
1990-01-02,0.01767,9.82862433862434e-05,17.24,1.76021135495834e-05,0.00011224,9.46351854782821e-05
1990-01-03,-0.00258890812009035,0.00010941669973545,18.19,3.68098229845408e-05,3.681e-05,0.0
1990-01-04,-0.00867842293428765,0.000122158862433862,19.22,8.870494501734e-05,8.8705e-05,0.0
1990-01-05,-0.00977602225340885,0.00013373416005291,20.11,7.95103067479949e-05,7.951e-05,0.0
1990-01-08,0.00450432070788257,0.00013573664021164,20.26,3.50043532176459e-05,3.5004e-05,0.0
1990-01-09,-0.0118566663869506,0.000162976190476191,22.2,4.77749068474683e-05,4.7775e-05,0.0
1990-01-10,-0.00662909749729107,0.000166519047619048,22.44,7.58506966028273e-05,7.5851e-05,0.0
1990-01-11,0.00350655682365785,0.000132937334656085,20.05,3.74700886967013e-05,3.747e-05,0.0
1990-01-12,-0.0249845956488197,0.00020077037037037,24.64,0.000243927188479035,0.00024393,0.0
1990-01-15,-0.00865678370822312,0.000229429761904762,26.34,4.03430790047961e-05,4.0343e-05,0.0
1990-01-16,0.0110661402242802,0.000193344047619048,24.18,0.000122567802477689,0.00012257,0.0
1990-01-17,-0.00987990046477414,0.000193024338624339,24.16,8.98257620170709e-05,8.9826e-05,0.0
1990-01-18,0.00233869761268169,0.000195911243386243,24.34,0.000167852338535979,0.00016785,0.0
1990-01-19,0.00283461966753889,0.000167410714285714,22.5,2.07985824451308e-05,2.0799e-05,0.0
1990-01-22,-0.0261989802650939,0.000235744047619048,26.7,0.00013372121552215,0.00013372,0.0
1990-01-23,0.00371607249487808,0.00020207619047619,24.72,0.000121419092923928,0.00012142,0.0
1990-01-24,-0.00407935658703034,0.000213178604497355,25.39,0.000198045096922835,0.00060256,0.00040451576443917
1990-01-25,-0.0127374730004823,0.000217227810846561,25.63,9.46119028805923e-05,9.4612e-05,0.0
1990-01-26,-0.000859053866415186,0.000228385714285714,26.28,0.000158520808150392,0.00015852,0.0
1990-01-29,-0.00184331849428934,0.000231175132275132,26.44,0.000181885995667841,0.00018189,0.0
1990-01-30,-0.00684997587273458,0.000245556382275132,27.25,0.000142902358139866,0.0001429,0.0
1990-01-31,0.0187104804998085,0.000212675132275132,25.36,7.11794996848036e-05,7.1179e-05,0.0
1990-02-01,-0.000881633206512374,0.000204536011904762,24.87,2.93972921120519e-05,2.9397e-05,0.0
1990-02-02,0.00645740522776514,0.000195589417989418,24.32,3.28234719628569e-05,3.2823e-05,0.0
1990-02-05,0.00280640526995184,0.000199144047619048,24.54,1.26366396383509e-05,1.2637e-05,0.0
1990-02-06,-0.0066212392887241,0.000201586011904762,24.69,4.64849465954933e-05,4.6485e-05,0.0
1990-02-07,0.0123303894112493,0.000195107175925926,24.29,0.000169217171519207,0.00016922,0.0
1990-02-08,-0.00236984706913507,0.00018684289021164,23.77,5.25549610244391e-05,5.2555e-05,0.0
1990-02-09,0.00198025808058515,0.000185587334656085,23.69,4.90917284003343e-05,4.9092e-05,0.0
1990-02-12,-0.0106675714029678,0.000196555687830688,24.38,7.46852145141964e-05,7.4685e-05,0.0
1990-02-13,0.00284374718945263,0.000186685714285714,23.76,6.09496835544996e-05,6.095e-05,0.0
1990-02-14,0.00298629243240917,0.00016078125,22.05,2.07507868884868e-05,2.0751e-05,0.0
1990-02-15,0.00863703074994691,0.000128466964285714,19.71,1.9497387331608e-05,1.9497e-05,0.0
1990-02-16,-0.00650082426009421,0.000142793783068783,20.78,1.04762705938009e-05,2.5215e-05,1.47390741425858e-05
1990-02-20,-0.0143181753201532,0.000171603306878307,22.78,0.000162078443869851,0.00016208,0.0
1990-02-21,-0.00097611574721057,0.00018873416005291,23.89,4.18427278643465e-05,0.00012917,8.73251351684603e-05
1990-02-22,-0.00603029208510476,0.000168006481481481,22.54,9.76861740224341e-05,9.7686e-05,0.0
1990-02-23,-0.00477034066118316,0.000185587334656085,23.69,7.84207118622448e-05,7.8421e-05,0.0
1990-02-26,0.0138478362499212,0.000183556084656085,23.56,7.02115887464571e-05,7.0212e-05,0.0
1990-02-27,0.00482601516391641,0.000170250033068783,22.69,5.46041349092708e-05,5.4604e-05,0.0
1990-02-28,0.00492336568008691,0.00015990744047619,21.99,5.0877068951782e-05,5.0877e-05,0.0
1990-03-01,0.00255781551666767,0.00015860119047619,21.9,3.23832546401067e-05,3.2383e-05,0.0
1990-03-02,0.00837977011065772,0.000150593783068783,21.34,3.6634774366857e-05,3.6635e-05,0.0
1990-03-05,-0.00537892762349767,0.000160489715608466,22.03,3.2367194117623e-05,3.2367e-05,0.0
1990-03-06,0.0124765267242571,0.000139650297619048,20.55,4.33553653872951e-05,4.3355e-05,0.0
1990-03-07,-0.00290422205078795,0.000120638227513228,19.1,2.86086462209243e-05,2.8609e-05,0.0
1990-03-08,0.00980486872045147,0.000128858333333333,19.74,4.23323862644279e-05,4.2332e-05,0.0
1990-03-09,-0.0069006466696635,0.000136273148148148,20.3,2.6548307271302e-05,2.6548e-05,0.0
1990-03-12,0.00218740849855136,0.000133202678571429,20.07,4.52436626840454e-05,4.5244e-05,0.0
1990-03-13,-0.00791502197836108,0.000146528604497355,21.05,4.1493070408427e-05,4.1493e-05,0.0
1990-03-14,0.00258593928935277,0.000127686011904762,19.65,2.59761086258047e-05,2.5976e-05,0.0
1990-03-15,0.00355587537981064,0.000117002678571429,18.81,2.50013477649398e-05,2.5001e-05,0.0
1990-03-16,0.011294569903386,0.000102666798941799,17.62,1.87386315277836e-05,4.8262e-05,2.95237414493364e-05
1990-03-19,0.00472689955760392,0.000110623048941799,18.29,7.48475509664889e-05,7.4848e-05,0.0
1990-03-20,-0.00572180804957334,0.000120133465608466,19.06,7.14366113256315e-05,7.1437e-05,0.0
1990-03-21,-0.00537201685261934,0.000133601190476191,20.1,1.46907657943693e-05,1.4691e-05,0.0
1990-03-22,-0.0119925041505004,0.00017100119047619,22.74,8.02889957049279e-05,8.0289e-05,0.0
1990-03-23,0.00454742130916989,0.000138429761904762,20.46,1.68628419541687e-05,1.6863e-05,0.0
1990-03-26,0.00121508498316578,0.00012690744047619,19.59,1.98718344857441e-05,5.4683e-05,3.48115886469786e-05
1990-03-27,0.0113970576778443,0.000145972255291005,21.01,3.60656423487735e-05,3.6066e-05,0.0
1990-03-28,0.00146305805176032,0.000129250297619048,19.77,2.54100375472448e-05,2.541e-05,0.0
1990-03-29,-0.00354428526095526,0.000112689021164021,18.46,9.34370247989452e-06,9.3437e-06,0.0
1990-03-30,-0.00249732035244456,0.000128727810846561,19.73,2.34790771250676e-05,6.2477e-05,3.89983532862803e-05
1990-04-02,-0.00365437162547943,0.000172508465608466,22.84,0.000101281531860515,0.00010128,0.0
1990-04-03,0.0144798379461297,0.000138159259259259,20.44,4.86201397868861e-05,4.862e-05,0.0
1990-04-04,-0.00744822569086536,0.000160489715608466,22.03,3.64901547498354e-05,3.649e-05,0.0
1990-04-05,-0.00105599728213854,0.000148764583333333,21.21,2.0693454328745e-05,2.0693e-05,0.0
1990-04-06,-0.0019094907463171,0.000156579894179894,21.76,2.17851629924778e-05,2.1785e-05,0.0
1990-04-09,0.00378604898649235,0.000164447751322751,22.3,9.02535107965925e-06,9.0254e-06,0.0
1990-04-10,0.00204846144439306,0.000155574107142857,21.69,4.7033469678221e-06,1.1354e-05,6.65113570931418e-06
1990-04-11,-0.00043860291058246,0.000103952678571429,17.73,1.32306970366438e-05,1.3231e-05,0.0
1990-04-12,0.00705274977748852,0.000129642857142857,19.8,2.03259268634396e-05,2.0326e-05,0.0
1990-04-16,0.00116096837791917,0.000142381779100529,20.75,2.07376279924043e-05,9.0529e-05,6.9791195411303e-05
1990-04-17,-0.000174059354679274,0.000137349338624339,20.38,1.16687051261813e-05,3.2408e-05,2.0739270444142e-05
1990-04-18,-0.0115554247566079,0.000169950033068783,22.67,2.79723115798727e-05,2.7972e-05,0.0
1990-04-19,-0.00774889338673794,0.000166816005291005,22.46,4.7682520521665e-05,4.7683e-05,0.0
1990-04-20,-0.00882345558944072,0.000179989715608466,23.33,5.92019578852184e-05,5.9202e-05,0.0
1990-04-23,-0.0122192552679243,0.000193024338624339,24.16,6.17761982191692e-05,6.1776e-05,0.0
1990-04-24,-0.00208645242833881,0.000155717592592593,21.7,3.46443440312696e-05,3.4644e-05,0.0
1990-04-25,0.00504235733740579,0.00014389537037037,20.86,3.76518864543073e-05,3.7652e-05,0.0
1990-04-26,0.00267689459797225,0.000135602678571429,20.25,9.34207465130618e-05,9.3421e-05,0.0
1990-04-27,-0.0115101794893003,0.000162829398148148,22.19,6.75544298239336e-05,6.7554e-05,0.0
1990-04-30,0.0051219217609421,0.000126002116402116,19.52,3.11875070094609e-05,3.1188e-05,0.0
1990-05-01,0.00437373444381833,0.000112323048941799,18.43,1.74898664187459e-05,4.3033e-05,2.55427386287068e-05
1990-05-02,0.006689389454955,0.000123433333333333,19.32,1.95365458384106e-05,1.9537e-05,0.0
1990-05-03,0.00325349141553422,0.00010489289021164,17.81,3.24137615153168e-05,3.2414e-05,0.0
1990-05-04,0.00836849800416686,9.87428571428572e-05,17.28,8.41885960741212e-05,8.4189e-05,0.0
1990-05-07,0.00630415096734693,0.00010301669973545,17.65,1.69302573355579e-05,1.693e-05,0.0
